Date,ITEM001,ITEM002,ITEM003
9/5/2022 0:14,34,164.1690481,104.1690481
9/5/2022 0:29,34,164.1690481,104.1690481
9/5/2022 0:44,34,164.1690481,104.1690481
9/5/2022 0:59,51,247.8585716,153.8585716
9/5/2022 1:14,34,164.1690481,104.1690481
9/5/2022 1:29,51,247.8585716,153.8585716
9/5/2022 1:44,51,247.8585716,153.8585716
9/5/2022 1:59,51,247.8585716,153.8585716
9/5/2022 2:14,51,247.8585716,153.8585716
9/5/2022 2:29,51,247.8585716,153.8585716
9/5/2022 2:44,34,164.1690481,104.1690481
9/5/2022 2:59,34,164.1690481,104.1690481
9/5/2022 3:14,34,164.1690481,104.1690481
9/5/2022 3:29,34,164.1690481,104.1690481
9/5/2022 3:44,34,164.1690481,104.1690481
9/5/2022 3:59,34,164.1690481,104.1690481
9/5/2022 4:14,34,164.1690481,104.1690481
9/5/2022 4:29,34,164.1690481,104.1690481
9/5/2022 4:44,34,164.1690481,104.1690481
9/5/2022 4:59,34,164.1690481,104.1690481
9/5/2022 5:14,69,336.6933761,206.6933761
9/5/2022 5:29,69,336.6933761,206.6933761
9/5/2022 5:44,69,336.6933761,206.6933761
9/5/2022 5:59,69,336.6933761,206.6933761
9/5/2022 6:14,51,247.8585716,153.8585716
9/5/2022 6:29,345,1706.425824,1024.425824
9/5/2022 6:44,362,1790.973702,1074.973702
9/5/2022 6:59,552,2736.50532,1640.50532
9/5/2022 7:14,587,2910.771917,1744.771917
9/5/2022 7:29,535,2651.869933,1589.869933
9/5/2022 7:44,552,2736.50532,1640.50532
9/5/2022 7:59,535,2651.869933,1589.869933
9/5/2022 8:14,604,2995.423589,1795.423589
9/5/2022 8:29,656,3254.387503,1950.387503
9/5/2022 8:44,656,3254.387503,1950.387503
9/5/2022 8:59,725,3598.074176,2156.074176
9/5/2022 9:14,725,3598.074176,2156.074176
9/5/2022 9:29,743,3687.741974,2209.741974
9/5/2022 9:44,743,3687.741974,2209.741974
9/5/2022 9:59,725,3598.074176,2156.074176
9/5/2022 10:14,743,3687.741974,2209.741974
9/5/2022 10:29,725,3598.074176,2156.074176
9/5/2022 10:44,725,3598.074176,2156.074176
9/5/2022 10:59,743,3687.741974,2209.741974
9/5/2022 11:14,743,3687.741974,2209.741974
9/5/2022 11:29,743,3687.741974,2209.741974
9/5/2022 11:44,743,3687.741974,2209.741974
9/5/2022 11:59,708,3513.391731,2105.391731
9/5/2022 12:14,708,3513.391731,2105.391731
9/5/2022 12:29,708,3513.391731,2105.391731
9/5/2022 12:44,708,3513.391731,2105.391731
9/5/2022 12:59,725,3598.074176,2156.074176
9/5/2022 13:14,725,3598.074176,2156.074176
9/5/2022 13:29,725,3598.074176,2156.074176
9/5/2022 13:44,725,3598.074176,2156.074176
9/5/2022 13:59,725,3598.074176,2156.074176
9/5/2022 14:14,743,3687.741974,2209.741974
9/5/2022 14:29,708,3513.391731,2105.391731
9/5/2022 14:44,725,3598.074176,2156.074176
9/5/2022 14:59,691,3428.713121,2054.713121
9/5/2022 15:14,673,3339.057756,2001.057756
9/5/2022 15:29,673,3339.057756,2001.057756
9/5/2022 15:44,673,3339.057756,2001.057756
9/5/2022 15:59,708,3513.391731,2105.391731
9/5/2022 16:14,708,3513.391731,2105.391731
9/5/2022 16:29,691,3428.713121,2054.713121
9/5/2022 16:44,691,3428.713121,2054.713121
9/5/2022 16:59,673,3339.057756,2001.057756
9/5/2022 17:14,570,2826.125327,1694.125327
9/5/2022 17:29,518,2567.240387,1539.240387
9/5/2022 17:44,518,2567.240387,1539.240387
9/5/2022 17:59,466,2308.412967,1384.412967
9/5/2022 18:14,449,2223.81038,1333.81038
9/5/2022 18:29,397,1965.075141,1179.075141
9/5/2022 18:44,414,2049.65301,1229.65301
